"factId","metricId","metricName","scopeType","scopeName","month","value","unit","numerator","denominator","formula","quality","alert","inputs","sources"
"F0035","hire_rate","入职率","总览","OTC事业部","6月","1.53","%","6","391","当月入职人数 ÷ 当月发薪人数 × 100%","已核对","null","[{""name"":""当月入职人数"",""value"":6,""unit"":""人""},{""name"":""当月发薪人数"",""value"":391,""unit"":""人""}]","[{""table"":""2026年人工成本"",""fields"":[""月份"",""人数""],""filter"":""月份=6月"",""matchedRows"":391}]"
"F0036","turnover_rate","离职率","总览","OTC事业部","6月","5.37","%","21","391","当月离职人数 ÷ 当月发薪人数 × 100%","已核对","null","[{""name"":""当月离职人数"",""value"":21,""unit"":""人""},{""name"":""当月发薪人数"",""value"":391,""unit"":""人""}]","[{""table"":""2026年人工成本"",""fields"":[""月份"",""人数""],""filter"":""月份=6月"",""matchedRows"":391}]"
"F0037","fee_rate","费率/总成本率","部门","连锁部","1月","22.59","%","418.7","1853.13","总成本 ÷ 实际销额 × 100%","已核对","{""level"":""warning"",""label"":""关注"",""message"":""费率≥20%，进入关注区间""}","[{""name"":""部门总成本"",""value"":418.7,""unit"":""万元""},{""name"":""部门实际销额"",""value"":1853.13,""unit"":""万元""}]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""总成本"",""实际销额"",""费率""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row7""]}]"
"F0038","human_efficiency","人效","部门","连锁部","1月","6.2","万元/人","1853.13","299","实际销额 ÷ 当月发薪人数","已核对","null","[{""name"":""部门实际销额"",""value"":1853.13,""unit"":""万元""},{""name"":""部门发薪人数"",""value"":299,""unit"":""人""}]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""总成本"",""实际销额"",""费率""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row7""]},{""table"":""2026年人工成本"",""fields"":[""部门"",""月份"",""人数""],""filter"":""部门=连锁部；月份=1月"",""matchedRows"":299}]"
"F0039","labor_cost","人工成本","部门","连锁部","1月","250.91","万元","null","null","人工成本明细“人工成本”字段合计 ÷ 10,000","已核对","null","[{""name"":""人工成本（元）"",""value"":2509100,""unit"":""元""}]","[{""table"":""2026年人工成本"",""fields"":[""部门"",""月份"",""人工成本""],""filter"":""业务口径部门=连锁部；月份=1月"",""matchedRows"":299}]"
"F0040","fee_rate","费率/总成本率","部门","连锁部","2月","23.08","%","324.01","1403.95","总成本 ÷ 实际销额 × 100%","已核对","{""level"":""warning"",""label"":""关注"",""message"":""费率≥20%，进入关注区间""}","[{""name"":""部门总成本"",""value"":324.01,""unit"":""万元""},{""name"":""部门实际销额"",""value"":1403.95,""unit"":""万元""}]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""总成本"",""实际销额"",""费率""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row7""]}]"
"F0041","human_efficiency","人效","部门","连锁部","2月","5.11","万元/人","1403.95","275","实际销额 ÷ 当月发薪人数","已核对","null","[{""name"":""部门实际销额"",""value"":1403.95,""unit"":""万元""},{""name"":""部门发薪人数"",""value"":275,""unit"":""人""}]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""总成本"",""实际销额"",""费率""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row7""]},{""table"":""2026年人工成本"",""fields"":[""部门"",""月份"",""人数""],""filter"":""部门=连锁部；月份=2月"",""matchedRows"":275}]"
"F0042","labor_cost","人工成本","部门","连锁部","2月","198.76","万元","null","null","人工成本明细“人工成本”字段合计 ÷ 10,000","已核对","null","[{""name"":""人工成本（元）"",""value"":1987600,""unit"":""元""}]","[{""table"":""2026年人工成本"",""fields"":[""部门"",""月份"",""人工成本""],""filter"":""业务口径部门=连锁部；月份=2月"",""matchedRows"":275}]"
"F0043","fee_rate","费率/总成本率","部门","连锁部","3月","16.88","%","394.87","2339.72","总成本 ÷ 实际销额 × 100%","已核对","{""level"":""normal"",""label"":""正常"",""message"":""费率低于20%暂定阈值""}","[{""name"":""部门总成本"",""value"":394.87,""unit"":""万元""},{""name"":""部门实际销额"",""value"":2339.72,""unit"":""万元""}]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""总成本"",""实际销额"",""费率""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row7""]}]"
"F0044","human_efficiency","人效","部门","连锁部","3月","8.42","万元/人","2339.72","278","实际销额 ÷ 当月发薪人数","已核对","null","[{""name"":""部门实际销额"",""value"":2339.72,""unit"":""万元""},{""name"":""部门发薪人数"",""value"":278,""unit"":""人""}]","[{""table"":""各部门费率计算"",""originalTable"":""各部门人工成本合计-总成本 副本"",""fields"":[""总成本"",""实际销额"",""费率""],""rowRefs"":[""department_rate.tsv#row1"",""department_rate.tsv#row7""]},{""table"":""2026年人工成本"",""fields"":[""部门"",""月份"",""人数""],""filter"":""部门=连锁部；月份=3月"",""matchedRows"":278}]"
